,name,width,height,length,fps,frame,scale,center_x,center_y,bodyLength0
0,cfa-10,1296.0,972.0,98827.0,25.0,0,796.1231060583533,652,540,25.019992006393608
1,cfa-3,1296.0,972.0,98221.0,25.0,0,809.3268808089844,605,511,25.019992006393608
2,cfa-4,1296.0,972.0,98218.0,25.0,0,820.0981648558909,592,504,27.784887978899608
3,cfa-5,1296.0,972.0,98914.0,25.0,0,812.0055418530097,583,494,27.85677655436824
4,cfa-7,1296.0,972.0,98862.0,25.0,0,809.0395540392324,599,545,25.298221281347036
5,cfb-3,1296.0,972.0,108588.0,25.0,0,802.3023120993731,581,474,28.635642126552707
6,cfb-4,1296.0,972.0,108564.0,25.0,0,815.4808397503892,596,508,27.51363298439521
7,cfb-5,1296.0,972.0,108551.0,25.0,0,811.0221945175114,583,481,27.294688127912362
8,cfb-7,1296.0,972.0,108536.0,25.0,0,812.4161495194443,606,533,27.202941017470888
9,cfc-3,1296.0,972.0,105525.0,25.0,0,804.7881708872218,581,474,27.459060435491963
10,cfc-4,1296.0,972.0,105516.0,25.0,0,820.1195034871442,594,504,28.231188426986208
11,cfc-5,1296.0,972.0,105521.0,25.0,0,810.0499984568854,586,481,26.419689627245813
12,cfc-7,1296.0,972.0,105475.0,25.0,0,807.1393931657653,610,528,27.730849247724095
13,cfc-8,1296.0,972.0,105484.0,25.0,0,818.7917928264792,606,534,27.313000567495326
14,cfd-1,1296.0,972.0,135072.0,25.0,0,821.7037178934996,562,516,26.68332812825267
15,cfd-2,1296.0,972.0,135055.0,25.0,0,814.0098279504984,640,522,24.166091947189145
16,cfd-3,1296.0,972.0,135055.0,25.0,0,813.2459652528256,646,491,28.284271247461902
17,cfd-4,1296.0,972.0,135075.0,25.0,0,809.3861871813726,633,524,27.80287754891569
18,cfd-5,1296.0,972.0,135049.0,25.0,0,817.176847444909,583,512,27.80287754891569
19,cf3-2,1296.0,972.0,100445.0,25.0,0,823.6073093410475,621,551,28.861739379323623
20,cfb-2,1296.0,972.0,108574.0,25.0,0,809.8697426129711,636,501,27.459060435491963
21,cf3-3,1296.0,972.0,100404.0,25.0,0,819.7908269796632,620,506,26.832815729997478
22,cf3-6,1296.0,972.0,100355.0,25.0,0,815.0300607953059,562,500,25.553864678361276
23,cf3-7,1296.0,972.0,100342.0,25.0,0,819.2691865315087,627,531,28.0178514522438
24,cf3-8,1296.0,972.0,100332.0,25.0,0,822.155703014946,584,517,26.419689627245813
